source,detention_facility_code,name,address_full,address,city,state,latitude,longitude,zip,n_codings
hold,COAHOLD,"Columbia, SC Hold Room","1835 Assembly Street, Suite 1569, Columbia, Sc 29201","1835 Assembly Street, Suite 1569",Columbia,SC,34.00900983,-81.04024712,29201,2
team-geocoding,CALHOMI,Calhoun County Correctional Center,"185 E. Michigan Street, Battle Creek, MI 49014",185 E. Michigan Street,Battle Creek,MI,42.31641023,-85.17578658,49014,3
team-geocoding,DONAANM,Dona Ana County Detention Center,"1850 Copper Loop, Las Cruces, NM 88004",1850 Copper Loop,Las Cruces,NM,32.30278652,-106.8058217,88004,2
team-geocoding,PCKNSAL,Pickens County Detention Center,"188 Cemetery St, Carrollton, AL 35447",188 Cemetery St,Carrollton,AL,33.2603977,-88.09594803,35447,2
team-geocoding,MHNHHTX,Memorial Hermann NE Hospital,"18951 N Memorial Drive, Humble, TX 77338",18951 N Memorial Drive,Humble,TX,29.99528802,-95.27621598,77338,3
new,EPBHSTX,El Paso Behavioral Health System,"1900 Denver Ave, El Paso, Tx 79902",1900 Denver Ave,El Paso,TX,31.78063671,-106.4759787,79902,5
new,KFMANTX,Kaufman County Detention Center,"1900 East US Highway 175, Kaufman, TX 75142",1900 East US Highway 175,Kaufman,TX,32.55974919,-96.29438571,75142,2
team-geocoding,HNDMCTX,Hendrick Medical Center,"1900 Pine St, Abilene, TX 79601",1900 Pine St,Abilene,TX,32.47216534,-99.73381326,79601,2
team-geocoding,BOPSPG,Springfield Federal Medical Center,"1900 W. Sunshine, Springfield, MO 65807",1900 W. Sunshine,Springfield,MO,37.17763662,-93.3231892,65807,2
team-geocoding,FLDADCI,Dade Correctional Inst,"19000 SW 377th St, Homestead, FL 33034",19000 SW 377th St,Homestead,FL,25.41562701,-80.49991215,33034,4
team-geocoding,LARCOWY,Laramie County Jail,"1910 Pioneer Avenue, Cheyenne, WY 82001",1910 Pioneer Avenue,Cheyenne,WY,41.13494563,-104.8198642,82001,2
team-geocoding,CENTRVA,Centra Health,"1920 Atherholt Road, Lynchburg, VA 24501",1920 Atherholt Road,Lynchburg,VA,37.41365911,-79.16925554,24501,2
hold,ALMHOLD,Alamosa Hold Room,"1921 State Street, Alamosa, Co 81101",1921 State Street,Alamosa,CO,37.45111503,-105.8659922,81101,2
hold,BSAHOLD,Broadview Service Staging,"1930 Beach Street, Broadview, Il 60155",1930 Beach Street,Broadview,IL,41.86800572,-87.86604184,60155,3
team-geocoding,AKFAIRB,Fairbanks Correctional Center,"1931 Eagan Street, Fairbanks, AK 99701",1931 Eagan Street,Fairbanks,AK,64.83352041,-147.7594745,99701,2
team-geocoding,TALLAMS,Tallahatchie County Correctional Facility,"19351 US 49, Tutwiler, MS 38963",19351 US 49,Tutwiler,MS,34.02701222,-90.44625155,38963,2
team-geocoding,CHANRAZ,Chandler Regional Medical Center,"1955 W Frye Rd, Chandler, AZ 85224",1955 W Frye Rd,Chandler,AZ,33.29759274,-111.8747923,85224,2
team-geocoding,TOOELUT,Tooele County Jail,"1960 S Main St, Tooele, UT 84074",1960 S Main St,Tooele,UT,40.49319387,-112.3324999,84074,2
team-geocoding,POLKJIA,Polk County Jail,"1985 Ne 51st Place, Des Moines, IA 50313",1985 Ne 51st Place,Des Moines,IA,41.65362786,-93.58789616,50313,2
team-geocoding,WMLNDPA,Westmoreland County Jail,"2 North Main Street, Greensburg, PA 15601",2 North Main Street,Greensburg,PA,40.30276321,-79.54461724,15601,2
team-geocoding,ADAMSMS,Adams County Correctional Center,"20 Hobo Forks Road, Natchez, MS 39120",20 Hobo Forks Road,Natchez,MS,31.55764769,-91.22127871,39120,3
team-geocoding,ESSEXMA,"Essex County Jail, Middleton","20 Manning Ave, Middleton, MA 01949",20 Manning Ave,Middleton,MA,42.59770873,-70.98647059,1949,2
team-geocoding,MONTGNY,Montgomery County Jail,"200 Clark Drive, Fultonville, NY 12072",200 Clark Drive,Fultonville,NY,42.93366199,-74.33258678,12072,2
team-geocoding,JEFFEID,Jefferson County Jail,"200 Courthouse Way, Rigby, ID 83442",200 Courthouse Way,Rigby,ID,43.67344981,-111.9112013,83442,2
hold,NORHOLD,Norfolk Sub-Office Hold,"200 Granby Street Suite 821, Norfolk, Va 23510",200 Granby Street Suite 821,Norfolk,VA,36.84850338,-76.29086079,23510,2
team-geocoding,BALDWAL,Baldwin County Correctional Center,"200 Hand Ave., Bay Minette, AL 36507",200 Hand Ave.,Bay Minette,AL,30.88542951,-87.77481125,36507,2
team-geocoding,FRIRHTX,Frio Regional Hospital,"200 Ih 35 South, Pearsall, TX 78061",200 Ih 35 South,Pearsall,TX,28.89634801,-99.11726803,78061,3
team-geocoding,DAVIDTN,Davidson County Sheriff Department,"200 James Robertson Pkwy, Nashville, TN 37201",200 James Robertson Pkwy,Nashville,TN,36.16785092,-86.77929975,37201,2
team-geocoding,UPMCPPA,Upmc Presbyterian Hospital,"200 Lothrop St, Pittsburgh, PA 15213",200 Lothrop St,Pittsburgh,PA,40.44224705,-79.96092873,15213,2
team-geocoding,SUWANFL,Suwannee County Jail,"200 Ohio Ave S, Live Oak, FL 32064",200 Ohio Ave S,Live Oak,FL,30.29564082,-82.98506902,32064,2
team-geocoding,CIBOCNM,Cibola County Correctional Center,"2000 Cibola Loop, Milan, NM 87021",2000 Cibola Loop,Milan,NM,35.179948,-107.9073231,87021,3
team-geocoding,CIBOLNM,Cibola County Detention Center,"2000 Cibola Loop, Milan, NM 87021",2000 Cibola Loop,Milan,NM,35.179948,-107.9073231,87021,3
team-geocoding,AKLEMON,"Lemon Creek, Juneau, AK","2000 Lemon Creek Road, Juneau, AK 99801",2000 Lemon Creek Road,Juneau,AK,58.36257205,-134.4844093,99801,2
team-geocoding,ALEXAVA,Alexandria City Jail,"2001 Mill Rd, Alexandria, VA 22314",2001 Mill Rd,Alexandria,VA,38.79792346,-77.06462629,22314,2
team-geocoding,THPMCTX,The Hospital of Providence,"2001 N Oregon St, El Paso, TX 79902",2001 N Oregon St,El Paso,TX,31.77089731,-106.5001404,79902,2
team-geocoding,FULCJIN,Fulton County Jail Indiana,"2006 Sweetgum Rd, Rochester, IN 46975",2006 Sweetgum Rd,Rochester,IN,41.05192359,-86.23201245,46975,2
team-geocoding,NBRMCFL,Broward Health North,"201 East Sample Road, Pompano Beach, FL 33060",201 East Sample Road,Pompano Beach,FL,26.27695821,-80.12134193,33060,2
team-geocoding,VRK,Vrk Prcs,"201 Varick Street, New York, NY 10014",201 Varick Street,New York,NY,40.72807334,-74.00559633,10014,2
team-geocoding,THHMHTX,TX Health Harris Meth Hospital,"201 Walls Dr, Cleburne, TX 76033",201 Walls Dr,Cleburne,TX,32.33174348,-97.43840728,76033,2
