idnInmate	Strcity	Strcode	Strdescription	datCreatedOn	datModifiedOn	blnActive
25	ATL	DPR	DRAPER CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1675	ATL	DRA	DRAPER CORRECTIONAL FACILITY                      	2005-03-05 14:50:58.890		1
1676	ATL	DUR	DURHAM CORRECTIONAL  CENTER                       	2005-03-05 14:50:58.890		1
1677	ATL	EAS	EASTERN CORR. INST..                              	2005-03-05 14:50:58.890		1
1678	ATL	EVA	EVANS CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
26	ATL	EVE	EVANS CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
1679	ATL	FCC	FOUNTAIN CORRECTIONAL CENTER FOR WOMEN            	2005-03-05 14:50:58.890		1
27	ATL	FCI	FEDERAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
28	ATL	FLO	FLOYD COUNTY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
29	ATL	FOO	FOOTHILLS CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
30	ATL	FOR	FORSYTH COUNTY DETENTION CENTER	2003-08-10 11:23:16.927		0
1680	ATL	FOU	FOUNTAIN CORRECTIONAL CENTER FOR WOMEN            	2005-03-05 14:50:58.890		1
31	ATL	FRA	FRANKLIN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1681	ATL	FRN	FRANKLIN CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
1682	ATL	GAT	GATES CORRECTIONAL CENTER                         	2005-03-05 14:50:58.890		1
1683	ATL	GCC	GASTON CORRECTIONAL CENTER                        	2005-03-05 14:50:58.890		1
1684	ATL	GDB	GEORGIA DIAGNOSTIC & CLASSIFICATION CENTER        	2005-03-05 14:50:58.890		1
32	ATL	GDC	GEORGIA DIAGNOSTIC & CLASSIFICATION CENTER	2003-08-10 11:23:16.927		1
33	ATL	GEO	GEORGIA DIAGNOSTIC & CLASSIFICATION CENTER	2003-08-10 11:23:16.927		1
1685	ATL	GII	GEORGIA INDUSTRIAL INSTITUTION                    	2005-03-05 14:50:58.890		1
1686	ATL	GNE	GREENE CORRECTIONL INSTITUTION                    	2005-03-05 14:50:58.890		1
1687	ATL	GOO	VIRGINIA CORRECTIONAL CENTER FOR WOMEN            	2005-03-05 14:50:58.890		1
1688	ATL	GRA	C/O SCI GRATERFORD                                	2005-03-05 14:50:58.890		1
1689	ATL	GRE	GREENSVILLE CORRECTIONAL CENTER                   	2005-03-05 14:50:58.890		1
1690	ATL	GSP	GEORGIA STATE PRISON                              	2005-03-05 14:50:58.890		1
34	ATL	HAD	RIVERS CORRECTIONAL INST.	2003-08-10 11:23:16.927		0
1691	ATL	HAN	HANCOCK CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
35	ATL	HAR	HARNETT CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
36	ATL	HAY	HAYS CORRECTIONAL INST	2003-08-10 11:23:16.927		0
1692	ATL	HLX	HALIFAX CORRECTION CENTER                         	2005-03-05 14:50:58.890		1
37	ATL	HOK	HOKE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
38	ATL	HRS	HARRIS COUNTY C.I.	2003-08-10 11:23:16.927		0
1693	ATL	HUN	SCI AT RETREAT                                    	2005-03-05 14:50:58.890		1
1694	ATL	HVL	HAYNESVILLE CI                                    	2005-03-05 14:50:58.890		1
1695	ATL	HYS	HAYES CORECTIONAL CENTER                          	2005-03-05 14:50:58.890		1
1696	ATL	IFW	NORTH CAROLINA INSTITUTION FOR WOMEN              	2005-03-05 14:50:58.890		1
1697	ATL	INC	INDIAN CREEK CORRECTIONAL FACILITY                	2005-03-05 14:50:58.890		1
1698	ATL	IRE	IREDEL CORRECTIONAL INSTITUTION                   	2005-03-05 14:50:58.890		1
39	ATL	JAC	JACKSON COUNTY C.I.	2003-08-10 11:23:16.927		1
1699	ATL	JCI	JOHNSON CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
1700	ATL	JOH	JOHNSTON CORR. INST                               	2005-03-05 14:50:58.890		1
1701	ATL	JRI	JAMES RIVER CORRECTIONAL CENTER                   	2005-03-05 14:50:58.890		1
40	ATL	KCI	KIRKLAND CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1702	ATL	KIL	AL DEP OF CORR, KILBY CORRECTIONAL INSTITUTE      	2005-03-05 14:50:58.890		1
1703	ATL	KMC	KEENE MOUNTAIN CORRECTIONAL CENTER                	2005-03-05 14:50:58.890		1
41	ATL	LBR	LIEBER CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
42	ATL	LCI	LOWNDES CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
43	ATL	LEE	LEE CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
44	ATL	LER	LEROY CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
1704	ATL	LEW	C/O LEWISBURG                                     	2005-03-05 14:50:58.890		1
1705	ATL	LIM	LIMESTONE CC                                      	2005-03-05 14:50:58.890		1
1706	ATL	LIN	LINCOLN CORRECTIONAL CENTER                       	2005-03-05 14:50:58.890		1
1707	ATL	LOR	 LORTON CORRECTIONAL FACILITY, DOC                	2005-03-05 14:50:58.890		1
45	ATL	LOW	LOW SECURITY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
46	ATL	LTH	LEATH CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1708	ATL	LUM	LUMBERTON CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
47	ATL	MAC	MACDOUGALL CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
48	ATL	MAF	MARY FRANCIS CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
49	ATL	MAN	MANNING CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
50	ATL	MAO	CENTRAL CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
51	ATL	MAR	MARION CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
52	ATL	MAU	EASTERN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
