NAME,CITY,ST,ZIP,AOR,TYPE,FY07,Max FY07
ERIE COUNTY HOLDING CENTER,BUFFALO,NY,14202,BUF,OTHER,0,0
PRINCE WILLIAM,MANASSAS,VA,20110,WAS,IGSA,0,13
PLATTE COUNTY JAIL,WHEATLAND,WY,82201,DEN,IGSA,0,0
RAPP SEC CENTER,STAFFORD,VA,22404,WAS,IGSA,0,0
ST T CRIMINAL JUST COMPLX,ST THOMAS,VI,80300,MIA,IGSA,0,0
BOULDER COUNTY JAIL,BOULDER,CO,80302,DEN,IGSA,0,0
WASHTENAW COUNTY YOUTH FACILITY,ANN ARBOR,MI,48104,DET,IGSA,0,0
DENVER CITY PADF,DENVER,CO,80201,DEN,IGSA,0,0
GILPIN COUNTY SHERIFF,GOLDEN,CO,80403,DEN,IGSA,0,0
COMPASS HOUSE SHELTER,BUFFALO,NY,14209,BUF,DRO JUV,0,0
COLUMBIA CARE CENTER,COLUMBIA,SC,29203,MIA,IGSA,0,0
SHAWNEE COUNTY JUV.DET.CTR,TOPEKA,KS,66607,CHI,IGSA,0,0
BELL COUNTY JAIL,BELTON,TX,76513,SNA,IGSA,1,0
DAVIS CO. JAIL,FARMINGTON,UT,84025,SLC,IGSA,0,0
CARVER CO. JUVY DETENTION,CHASKA,MN,55318,SPM,DRO JUV,0,0
HAYS CTY JAIL,SAN MARCOS,TX,78666,SNA,IGSA,0,0
BUTTE-SILVER BOW COUNTY JAIL,BUTTE,MT,59701,SLC,IGSA,0,0
BIG HORN COUNTY JAIL,BASIN,WY,82410,DEN,IGSA,0,0
ADAMS COUNTY,RITZVILLE,WA,99169,SEA,IGSA,0,0
FRANKLIN COUNTY,PASCO,WA,99301,SEA,IGSA,0,0
MARION USP,MARION,IL,62959,CHI,BOP,1,0
BONNER COUNTY DETENTION CENTER,SANDPOINT,ID,83864,SEA,IGSA,0,0
BERNALILLO COUNTY DET CTR,ALBUQUERQUE,NM,87102,ELP,IGSA,344,824
BUTLER COUNTY JAIL,EL DORADO,KS,67042,CHI,IGSA,14,35
GARFIELD COUNTY JAIL,GLENWOOD SPGS,CO,81601,DEN,IGSA,14,42
BROOKS COUNTY JAIL (CONTRACT),FALFURRIAS,TX,78355,SNA,IGSA,9,53
MACOMB COMT,MT. CLEMENS,MI,48045,DET,IGSA,6,22
COLQUITT COUNTY JAIL,MOULTRIE,GA,31776,ATL,IGSA,5,62
NOBLES CO. JAIL,WORTHINGTON,MN,56082,SPM,IGSA,5,43
CASA SAN JUAN,SAN DIEGO,CA,92103,SND,DRO JUV,5,13
JOHNSON COUNTY DETENTION CENTER,SMITHSFIELD,NC,27577,ATL,IGSA,4,31
FRIO COUNTY JAIL,PEARSALL,TX,78061,SNA,IGSA,4,46
LASALLE COUNTY JAIL,COTTULA,TX,78014,SNA,IGSA,3,33
ST CLAIR CO.,PORT HURON,MI,48060,DET,IGSA,3,14
PLATTE COUNTY JAIL,PLATTE CITY,MO,64079,CHI,IGSA,3,32
CAMP DODGE,JOHNSTON,IA,50131,SPM,IGSA,2,361
PORTLAND DISTRICT OFFICE,PORTLAND,OR,97209,SEA,OTHER,2,30
SOUTHERN UTE DETENTION CENTER,IGNACIO,CO,81137,DEN,IGSA,2,22
CANADIAN COUNTY,EL RENO,OK,73036,DAL,IGSA,2,17
HARRIS COUNTY JAIL,HAMILTON,GA,31811,ATL,IGSA,2,15
VAL VERDE DETENTION CENTER,DEL RIO,TX,78640,SNA,IGSA,2,7
DICKENS COUNTY DET. CENTER,SPUR,TX,79370,DAL,IGSA,1,49
BOSTON SPC,BOSTON,MA,21090,BOS,IGSA,1,278
COMFORT SUITES HOTEL,MIAMI,FL,33175,MIA,OTHER,1,0
FORSYTH COUNTY JAIL,WINSTON-SALEM,NC,27101,ATL,IGSA,1,0
CHELAN CO. REGIONAL JAIL,WENATCHEE,WA,98801,SEA,IGSA,0,23
ESSEX CO. JAIL,MIDDLETON,MA,19490,BOS,IGSA,1,29
LEA COUNTY JAIL,LOVINGTON,NM,88260,ELP,IGSA,1,47
ELGIN POLICE DEPT. JAIL,ELGIN,IL,60120,CHI,IGSA,1,0
KLAMATH CO JAIL,KLAMATH FALLS,OR,97601,SEA,IGSA,1,13
TRUMBULL COUNTY JAIL,WARREN,OH,44483,DET,IGSA,0,0
RAY BROOK FED.CORR.INST.,RAY BROOK,NY,12977,BUF,BOP,1,0
WACKENHUT CORRECTIONS CORP,SANDIEGO,CA,92101,SND,IGSA,1,82
ALBANY COUNTY JAIL,LARAMIE,WY,82070,DEN,IGSA,1,14
MARIN JUVENILE HALL,SAN RAFAEL,CA,94903,SFR,ORR,1,0
SEATTLE FIELD OFFICE HOLD ROOM,SEATTLE,WA,98168,SEA,OTHER,1,0
LARIMER COUNTY JAIL,FT. COLLINS,CO,80522,DEN,IGSA,1,0
WEBB COUNTY JAIL,LAREDO,TX,78041,SNA,IGSA,1,0
RENO COUNTY JAIL,HUTCHINSON,KS,67501,CHI,IGSA,1,17
MEDFORD SUB-OFFICE,MEDFORD,OR,97601,SEA,OTHER,1,0
DOUGLAS CO. WISCONSIN,SUPERIOR,WI,54880,SPM,IGSA,1,0
BANNOCK COUNTY JAIL,POCATELLO,ID,83205,SLC,IGSA,1,0
UMATILLA CO JAIL,PENDLETON,OR,97801,SEA,IGSA,1,0
BSCC GILES DARBY FACILITY,POST,TX,79356,DAL,IGSA,1,0
LUNA COUNTY JAIL,DEMING,NM,88030,ELP,IGSA,1,25
LEWIS & CLARK COUNTY JAIL,HELENA,MT,59601,SLC,IGSA,0,0
THREE RIVERS FCI,THREE RIVERS,TX,78071,SNA,BOP,0,0
JACKSONVILLE SUB-OFFICE,JACKSONVILLE,FL,32216,MIA,OTHER,0,33
ST. MARTIN D.P. NURS.HOME,LAKE CHARLES,LA,70615,NOL,IGSA,0,0
DADE COUNTY CORRECTIONAL,MIAMI,FL,33034,MIA,IGSA,0,0
SEDGWICK COUNTY JAIL,WICHITA,KS,67203,CHI,IGSA,0,0
LAWRENCE COUNTY JAIL,NEW CASTLE,PA,16101,PHI,IGSA,0,0
EASTERN REGIONAL JAIL,MARTINSBURG,WV,25401,PHI,IGSA,0,0
COWLITZ COUNTY JAIL,KELSO,WA,98626,SEA,IGSA,0,0
OSWEGO COUNTY JAIL,OSWEGO,NY,13126,BUF,IGSA,0,0
BINGHAM COUNTY JAIL,BLACKFOOT,ID,83221,SLC,IGSA,0,0
BEDFORD COUNTY JAIL,BEDFORD,PA,15522,PHI,IGSA,0,23
TOOLE COUNTY,SHELBY,MT,59474,SLC,IGSA,0,0
LANE CO JAIL,EUGENE,OR,97401,SEA,IGSA,0,0
WEST OAKS HOSPITAL,HOUSTON,TX,77074,HOU,IGSA,0,0
MONTGOMERY COUNTY JAIL,FONDA,NY,12068,BUF,IGSA,0,0
PICKAWAY COUNTY JAIL,CIRCLEVILLE,OH,43113,DET,IGSA,0,0
SWEETWATER COUNTY JAIL,GREEN RIVER,WY,82935,DEN,IGSA,0,0
LARAMIE COUNTY JAIL,CHEYENNE,WY,82001,DEN,IGSA,0,0
MESA COUNTY JAIL,GRAND JUNCTION,CO,81502,DEN,IGSA,0,0
JACKSON MEMORIAL HOSPITAL,MIAMI,FL,33186,MIA,IGSA,0,0
MONTGOMERY CITY JAIL,MONTGOMERY,AL,36104,NOL,IGSA,0,0
MOUNTRAIL CO. JAIL,STANLEY,ND,58784,SPM,IGSA,0,0
VALLEY BAPTIST HOSPITAL,HARLINGEN,TX,78550,SNA,IGSA,0,0
BROADWATER COUNTY SHERIFF,TOWNSEND,MT,59644,SLC,IGSA,0,0
GOSHEN COUNTY JAIL,TORRINGTON,WY,82240,DEN,IGSA,0,0
BOTTINEAU CO. ND JAIL,BOTTINEAU,ND,58318,SPM,IGSA,0,0
COOK INLET PRETRIAL,ANCHORAGE,AK,99501,SEA,IGSA,0,0
BENTON COUNTY DETENTION CENTER,BENTONVILLE,AR,72712,NOL,IGSA,0,0
HARTFORD OFFICE,HARTFORD,CT,61030,BOS,OTHER,0,0
SARPY COUNTY JUVENILE,PAPILLION,NE,68048,SPM,DRO JUV,0,0
GREENE COUNTY JAIL,SPRINGFIELD,MO,65802,CHI,IGSA,0,0
LEWIS COUNTY JAIL,LOWVILLE,NY,13387,BUF,IGSA,0,0
CHESTER CNTY JAIL,WEST CHESTER,PA,19380,PHI,IGSA,0,0
SAGUACHE COUNTY JAIL,SAGUACHE,CO,81149,DEN,IGSA,0,0
DEPELCHIN CHILDREN'S CENTER,HOUSTON,TX,77007,HOU,ORR,0,0
DALLAS COUNTY JAIL,DALLAS,TX,76207,DAL,IGSA,0,0
FRANKLIN COUNTY JAIL,MALONE,NY,12953,BUF,IGSA,0,0
PENOBSCOT COUNTY JAIL,BANGOR,ME,44010,BOS,IGSA,0,0
MARICOPA MEDICAL CENTER,PHOENIX,AZ,85038,PHO,IGSA,0,0
CLEAR CREEK COUNTY JAIL,GEORGETOWN,CO,80444,DEN,IGSA,0,0
BSCC FLIGHTLINE UNIT,BIG SPRING,TX,79720,DAL,IGSA,0,0
BONNEVILLE CO. JAIL,IDAHO FALLS,ID,83402,SLC,IGSA,0,0
HILL COUNTY JUSTICE CENTER,HAVRE,MT,59501,SLC,IGSA,0,0
JEFFERSON COUNTY JAIL,RIGBY,ID,83442,SLC,IGSA,0,0
HUDSPETH COUNTY JAIL,SIERRA BLANCA,TX,79851,ELP,IGSA,0,49
INH STATE PRISON FOR WOMEN,GOFFSTOWN,NH,30450,BOS,IGSA,0,0
WESTMORELAND COUNTY JAIL,GREENSBURG,PA,15601,PHI,IGSA,0,0
ORLEANS COUNTY JAIL,ALBION,NY,14411,BUF,IGSA,0,0
FAIRFAX CO JAIL,FAIRFAX,VA,22030,WAS,IGSA,0,0
RIO GRANDE COUNTY JAIL,DEL NORTE,CO,81132,DEN,IGSA,0,0
MANSON YOUTH INST,CHESHIRE,CT,64100,BOS,IGSA,0,0
LEMON CREEK,JUNEAU,AK,99801,SEA,IGSA,0,0
CLARION COUNTY CORRECTIONS,SHIPPENVILLE,PA,16254,PHI,IGSA,0,0
OTERO COUNTY DETENTION,ALAMOGORDO,NM,88310,ELP,IGSA,0,17
SANDOVAL COUNTY DET CTR,BERNALILLO,NM,87004,ELP,IGSA,0,0
MCKINLEY COUNTY ADULT DET. CEN.,GALLUP,NM,87301,ELP,IGSA,0,13
EAGLE COUNTY JAIL,EAGLE,CO,81631,DEN,IGSA,0,0
MCCLELLAN CTY JAIL,WACO,TX,76705,SNA,IGSA,0,0
BROOKS COUNTY JAIL (SHERIFF),FALFURRIAS,TX,78355,SNA,IGSA,0,0
HEL DISTRICT CUSTODY,HELENA,MT,59601,SLC,OTHER,0,0
DOUGLAS CO JAIL,ROSEBURG,OR,97470,SEA,IGSA,0,0
COLOMBIA COUNTY JAIL,HUDSON,NY,12543,BUF,IGSA,0,0
ANOKA CO JUVENILE CENTER,LINO LAKES,MN,55014,SPM,IGSA,0,0
GOODHUE COUNTY JAIL,RED WING,MN,55066,SPM,IGSA,0,0
ERIE COUNTY CORRECTIONAL,ALDEN,NY,14004,BUF,IGSA,0,0
AROOSTOOK COUNTY JAIL,HOULTON,ME,47300,BOS,IGSA,0,0
GALLATIN COUNTY JAIL,BOZEMAN,MT,59715,SLC,IGSA,0,0
ANNE KLEIN PSYCHIATRIC INSTITUTE,W. TRENTON,NJ,68280,NYC,IGSA,0,0
HIDALGO COUNTY JAIL,EDINBURG,TX,78539,DAL,IGSA,0,0
LOUDOUN COUNTY,LEESBURG,VA,22075,WAS,IGSA,0,0
WILSON COUNTY JAIL,FLORESVILLE,TX,78114,SNA,IGSA,0,0
RIO GRANDE ST.HOSPITAL,HARLINGEN,TX,78650,SNA,IGSA,0,0
MISSOULA COUNTY,MISSOULA,MT,59802,SLC,IGSA,0,0
GRAND COUNTY JAIL,SPGS,CO,80451,DEN,IGSA,0,0
BROOMFIELD DETENTION CENTER,BROOMFIELD,CO,80021,DEN,IGSA,0,0
CARBON COUNTY JAIL,RAWLINS,WY,82301,DEN,IGSA,0,0
LINCOLN COUNTY JAIL,HUGO,CO,80821,DEN,IGSA,0,0
ROCK ISLAND COUNTY JAIL,ROCK ISLAND,IL,61201,CHI,IGSA,0,16
JEFFERSON COUNTY JAIL,WATERTOWN,NY,13601,BUF,IGSA,0,0
GARNER CORR INST,NEWTOWN,CT,64700,BOS,IGSA,0,0
BRYAN COUNTY JAIL,PEMBROKE,GA,31321,ATL,IGSA,0,0
PEMBINA COUNTY JAIL,CAVALIER,ND,58220,SPM,IGSA,0,0
BASTROP COUNTY JAIL,BASTROP,TX,78602,SNA,IGSA,0,0
LAKE COUNTY JAIL,POLSOM,MT,59860,SLC,IGSA,0,0
BIG HORN COUNTY JAIL,HARDIN,MT,59034,SLC,IGSA,0,0
BSCC CEDAR HILL UNIT,BIG SPRING,TX,79720,DAL,IGSA,0,0
LUTHERAN CHILDEREN AND FAMILY SVC,PHILADELPHIA,PA,19001,CHI,IGSA,0,0
BROOME COUNTY JAIL,BINGHAMTON,NY,13905,BUF,IGSA,0,0
FRANKLIN COUNTY JAIL,FARMINGTON,ME,49380,BOS,IGSA,0,0
LEMUEL SHATTUCK HOSPITAL,JAMAICA PLAIN,MA,21300,BOS,IGSA,0,0
WASHINGTON COUNTY JAIL,STILLWATER,MN,55082,SPM,IGSA,0,0
BASTROP FED.CORR.INST.,BASTROP,TX,78602,SNA,BOP,0,0
US MARSHALS WEST.DIST,SAN ANTONIO,TX,78206,SNA,IGSA,0,0
OKANOGAN CO. JAIL,OKANOGAN,WA,98840,SEA,IGSA,0,0
NORTHERN REGIONAL JAIL,MOUNDSVILLE,WV,26041,PHI,IGSA,0,14
NEW/INS OS HOLD ROOM,NEWARK,NJ,71020,NEW,OTHER,0,0
PROWERS COUNTY JAIL,LAMAR,CO,81052,DEN,IGSA,0,0
CAMPBELL COUNTY JAIL,GILLETTE,WY,82718,DEN,IGSA,0,0
BIG SPRING FED.CORR.INST.,BIG SPRING,TX,79720,DAL,BOP,0,0
CHATHAM CO JAIL,SAVANNAH,GA,31405,ATL,IGSA,0,0
OMAHA FO HOLD,OMAHA,NE,68110,SPM,OTHER,0,3
INS DISTRICT OFFICE,HONOLULU,HI,96813,SFR,OTHER,0,0
KETCHIKAN REGIONAL CC,KETCHIKAN,AK,99801,SEA,IGSA,0,0
PORTSMOUTH CITY JAIL,PORTSMOUTH,VA,23153,NYC,IGSA,0,0
AIRPORT HOTEL SAJ,ISLA VERDE,PR,97900,MIA,OTHER,0,0
CONVERSE COUNTY JAIL,DOUGLAS,WY,82633,DEN,IGSA,0,0
ROUTT COUNTY JAIL,STEAMBOAT SPGS,CO,80477,DEN,IGSA,0,0
SAN MIGUEL COUNTY JAIL,TELLURIDE,CO,81435,DEN,IGSA,0,0
JOHNSON COUNTY JAIL,CLEBURNE,TX,76031,DAL,IGSA,0,0
FLOYD COUNTY JAIL,NEW ALBANY,IN,47150,CHI,IGSA,0,0
MAINE YOUTH CENTER,SOUTH PORTLAND,ME,41060,BOS,IGSA,0,0
DOUGLAS CO. MN,ALEXANDRIA,MN,56308,SPM,IGSA,0,0
TRAILL CO. JAIL,HILLSBORO,ND,58045,SPM,IGSA,0,0
N.E.NEB JUVENILE SERVICES,MADISON,NE,68748,SPM,DRO JUV,0,0
KERR COUNTY JAIL,KERRVILLE,TX,78028,SNA,IGSA,0,0
SALT LAKE VALLEY JUVENILE,SALT LAKE CITY,UT,84119,SLC,IGSA,0,0
YELLOWSTONE COUNTY YOUTH SERVICES,BILLINGS,MT,59101,SLC,IGSA,0,0
ROSEBUD COUNTY JAIL,FORSYTH,MT,59127,SLC,IGSA,0,0
WHITEFISH CITY JAIL,WHITEFISH,MT,59937,SLC,IGSA,0,0
FERRY COUNTY JAIL,REPUBLIC,WA,99166,SEA,IGSA,0,0
CASA GRANDE REC. MED. CENTER,CASA GRANDE,AZ,85222,PHO,IGSA,0,0
MIAMI DISTRICT,MIAMI,FL,33138,MIA,HOLD,0,0
KIT CARSON COUNTY,BURLINGTON,CO,80807,DEN,IGSA,0,0
RIO BLANCO COUNTY JAIL,MEEKER,CO,81641,DEN,IGSA,0,0
FINNEY COUNTY JAIL,GARDEN CITY,KS,67846,CHI,IGSA,0,0
WASHINGTON COUNTY JAIL,MACHIAS,ME,46540,BOS,IGSA,0,0
HENRICO COUNTY JAIL,RICHMOND,VA,23261,WAS,IGSA,0,0
TDC-WACO-MCLENN,GATESVILLE,TX,78528,SNA,IGSA,0,0
CALDWELL COUNTY JAIL,LOCKHART,TX,78644,SNA,IGSA,0,0
SWEETWATER COUNTY JAIL,BIG TIMBER,MT,59011,SLC,IGSA,0,0
FLATHEAD COUNTY JAIL,KALISPELL,MT,59901,SLC,IGSA,0,0
KOOTENAI COUNTY,COEUR D' ALENE,ID,83814,SLC,IGSA,0,0
RAVALLI COUNTY JAIL,HAMILTON,MT,59840,SLC,IGSA,0,0
SNAKE RIVER JUVENILE,TWIN FALLS,ID,83301,SLC,DRO JUV,0,0
BRADENTON DETENTION CENTER,BRADENTON,FL,34205,MIA,IGSA,0,2
COLLIER COUNTY SHERIFF,NAPLES,FL,34101,MIA,IGSA,0,0
SUMMIT COUNTY JAIL,BRECKENRIDGE,CO,80424,DEN,IGSA,0,0
UINTA COUNTY JAIL,EVANSTON,WY,82930,DEN,IGSA,0,0
BSCC INTERSTATE UNIT,BIG SPRING,TX,79720,DAL,IGSA,0,0
ST. JOSEPH COUNTY JAIL,SOUTH BEND,IN,46601,CHI,IGSA,0,0
EQUINOX SHELTER,ALBANY,NY,12202,BUF,DRO JUV,0,0
LAFFAYETTE SHERIFF'S LOCK,HARTFORD,CT,61060,BOS,IGSA,0,0
ADDISON COUNTY JAIL,MIDDLEBURY,VT,57530,BOS,IGSA,0,0
TAUNTON STATE HOSPITAL,TAUNTON,MA,27800,BOS,IGSA,0,0
VA. PENINSULA REG JAIL,WILLIAMSBURG,VA,23185,WAS,IGSA,0,0
NORTHERN NECK REG JAIL,WARSAW,VA,22572,WAS,IGSA,0,0
LAWRENCE CO. JAIL,DEADWOOD,SD,57732,SPM,IGSA,0,0
EL PASO SPC JUVENILE,EL PASO,TX,79925,SND,IGSA,0,0
GILLISPIE CTY JAIL,FREDERICKSBURG,TX,78624,SNA,IGSA,0,0
TDC-DOMINGUEZ UNIT,SAN ANTONIO,TX,78252,SNA,IGSA,0,0
GONZALES COUNTY JAIL,GONZALEZ,TX,78629,SNA,IGSA,0,0
BURNET COUNTY JAIL,BURNET,TX,78611,SNA,IGSA,0,0
LINDA WOODMANSJF,GATESVILLE,TX,78528,SNA,IGSA,0,0
SHERIDAN COUNTY JAIL,PLENTYWOOD,MT,59254,SLC,IGSA,0,0
DAWSON COUNTY JAIL,GLENDIVE,MT,59330,SLC,IGSA,0,0
PHILLIPS COUNTY JAIL,MALTA,MT,59538,SLC,IGSA,0,0
PONDERA COUNTY JAIL,CONRAD,MT,59425,SLC,IGSA,0,0
SAN MATEO JUVENILE HALL,SAN MATEO,CA,94402,SFR,IGSA,0,0
SAN JOAQUIN COUNTY JAIL,FRENCH CAMP,CA,95231,SFR,IGSA,0,0
HIGHLAND MTN COR CTR,EAGLE RIVER,AK,99577,SEA,IGSA,0,0
JACKSON COUNTY JUVENILE,MEDFORD,OR,97501,SEA,IGSA,0,0
CLEARFIELD CO. JAIL,CLEARFIELD,PA,16830,PHI,IGSA,0,0
SUFFOLK CO.CORREC FAC,RIVERHEAD,NY,11901,NYC,IGSA,0,0
CIBOLA COUNTY DET CTR,GRANTS,NM,87020,ELP,IGSA,0,0
DRURY INN,DENVER,CO,80239,DEN,OTHER,0,0
WASHINGTON COUNTY JAIL,AKRON,CO,80720,DEN,IGSA,0,0
DOUGLAS COUNTY DETENTION FACILITY,CASTLE ROCK,CO,80109,DEN,IGSA,0,0
MONTROSE COUNTY JAIL,MONTROSE,CO,81402,DEN,IGSA,0,0
ELBERT COUNTY JAIL,KIOWA,CO,80117,DEN,IGSA,0,0
GUNNISON COUNTY JAIL,GUNNISON,CO,81230,DEN,IGSA,0,0
TOM GREEN CTY JAIL,SAN ANGELO,TX,76903,DAL,IGSA,0,0
SEWARD COUNTY JAIL,LIBERAL,KS,87901,CHI,IGSA,0,0
CASEY HOUSE SHELTER,BUFFALO,NY,14301,BUF,IGSA,0,0
CORRIGAN CORR INST,UNCASVILLE,CT,63620,BOS,IGSA,0,0
FAIRFAX CO. ADULT DETENTION CENTER,FAIRFAX,VA,22030,WAS,IGSA,0,0
ROSEAU COUNTY JAIL,ROSEAU,MN,56751,SPM,IGSA,0,0
PENNINGTON CO. JAIL,THIEFRIVER FALLS,MN,56701,SPM,IGSA,0,0
MEADE CO. JAIL,STURGIS,SD,57785,SPM,IGSA,0,0
LAKE OF THE WOODS COUNTY JAIL,BAUDETTE,MN,55623,SPM,IGSA,0,0
SARPY COUNTY JAIL,PAPILLION,NE,68046,SPM,IGSA,0,0
MADISON COUNTY JAIL,MADISON,NE,68748,SPM,IGSA,0,0
REGIONS MEDICAL CENTER,ST. PAUL,MN,55101,SPM,IGSA,0,0
CORYELL COUNTY JAIL,COPPERAS COVE,TX,76528,SNA,IGSA,0,0
BLANCO COUNTY JAIL,JOHNSON CITY,TX,78636,SNA,IGSA,0,0
KENDALL COUNTY JAIL,BOERNE,TX,78006,SNA,IGSA,0,0
BEXAR COUNTY JUVENILE,SAN ANTONIO,TX,77803,SNA,IGSA,0,0
MINERAL COUNTY JAIL,SUPERIOR,MT,59872,SLC,IGSA,0,0
MUSSELSHELL COUNTY JAIL,ROUNDUP,MT,59072,SLC,IGSA,0,0
CUSTER COUNTY JAIL,MILES CITY,MT,59301,SLC,IGSA,0,0
CANYON COUNTY JAIL,CALDWELL,ID,83605,SLC,IGSA,0,0
CACHE CO. JAIL,LOGAN,UT,84321,SLC,IGSA,0,0
YOLO COUNTY JAIL,WOODLAND,CA,95776,SFR,IGSA,0,0
MCLAUGHLIN YOUTH CENTER,ANCHORAGE,AK,99508,SEA,DRO JUV,0,0
DUTCH HARBOR CITY JAIL,UNALASKA,AK,99685,SEA,IGSA,0,0
MCNEIL ISLAND CORRECTIONS,STEILACOOM,WA,98388,SEA,IGSA,0,0
US MARSHALS,PORTLAND,OR,97204,SEA,IGSA,0,0
CARBON COUNTY CORRECTIONL,NESQUEHONING,PA,18240,PHI,IGSA,0,0
LEHIGH COUNTY JAIL,ALLENTOWN,PA,18102,PHI,IGSA,0,0
BUTLER COUNTY JAIL,BUTLER,PA,16001,PHI,IGSA,0,0
SOMERSET COUNTY JAIL,SOMERSET,PA,15501,PHI,IGSA,0,0
ROBERTSON CO. DET.CENTER,SPRINGFIELD,TN,37172,NOL,IGSA,0,0
MEMPHISSHELBY COUNTY JUV,MEMPHIS,TN,38106,NOL,IGSA,0,0
SEBASTIAN COUNTY JUVENILE,FORT SMITH,AR,72901,NOL,IGSA,0,0
HILLSBOROUGH COUNTY JAIL,TAMPA,FL,33619,MIA,IGSA,0,0
SANTA FE CORNELL DET. FAC.,SANTA FE,NM,87505,ELP,IGSA,0,0
KENTON COUNTY JAIL,COVINGTON,KY,41011,DET,IGSA,0,0
TELLER COUNTY JAIL,DIVIDE,CO,80814,DEN,IGSA,0,0
COLO DEPT OF CORRECTIONS,COLO. SPGS,CO,80906,DEN,IGSA,0,0
BENT COUNTY JAIL,LAS ANIMAS,CO,81054,DEN,IGSA,0,0
ENGLEWOOD FED.CORR.INST.,LITTLETON,CO,80123,DEN,BOP,0,0
YUMA COUNTY JAIL,WRAY,CO,80758,DEN,IGSA,0,0
PITKIN COUNTY JAIL,ASPEN,CO,81611,DEN,IGSA,0,0
EMBASSY SUITES HOTEL,DENVER,CO,80239,DEN,IGSA,0,0
LAKE COUNTY JAIL,LEADVILLE,CO,80461,DEN,IGSA,0,0
QUALITY INN,SPRINGS,CO,81647,DEN,IGSA,0,0
LUTHERAN COMMUNITY SERVICES,WORCESTER,MA,16040,CHI,ORR,0,0
CORTLAND COUNTY JAIL,CORTLAND,NY,13046,BUF,IGSA,0,0
ST LAWRENCE COUNTY JAIL,CANTON,NY,13617,BUF,IGSA,0,0
SCHNECTADY COUNTY JAIL,SCHNECTADY,NY,12307,BUF,IGSA,0,0
TIOGA COUNTY JAIL,OSWEGO,NY,13827,BUF,IGSA,0,0
STEUBEN COUNTY JAIL,BATH,NY,14810,BUF,IGSA,0,0
FULTON COUNTY JAIL,JOHNSTOWN,NY,12095,BUF,IGSA,0,0
RENSSALAER COUNTY,TROY,NY,12180,BUF,IGSA,0,0
GREENE COUNTY JAIL,CATSKILL,NY,12414,BUF,IGSA,0,0
ACI,CRANSTON,RI,29200,BOS,IGSA,0,0
HANCOCK COUNTY JAIL,ELLSWORTH,ME,46050,BOS,IGSA,0,0
ROANOKE CITY JAIL,SALEM,VA,24153,WAS,IGSA,0,0
PIEDMONT POLICE DEPT,PIEDMONT,OK,73078,WAS,IGSA,0,0
CENTRAL VA REGIONAL JAIL,ORANGE COUNTY,VA,22960,WAS,IGSA,0,0
GRAND FORKS CO. JUVENILE,GRAND FORKS,ND,58206,SPM,DRO JUV,0,0
HENNEPIN COUNTY ADC,MINNEAPOLIS,MN,55415,SPM,IGSA,0,0
ATASCOSA COUNTY JAIL,JOURDANTON,TX,78026,SNA,IGSA,0,0
KIMBLE COUNTY JAIL,JUNCTION,TX,76849,SNA,IGSA,0,0
KERR COUNTY JDC,KERRVILLE,TX,78028,SNA,IGSA,0,0
FAYETTE COUNTY JAIL,LA GRANGE,TX,78945,SNA,IGSA,0,0
MEDINA CNTY JUVENILE CORR,HONDO,TX,78861,SNA,IGSA,0,0
BELL COUNTY JUVENILE,KILLEEN,TX,76543,SNA,IGSA,0,0
MEDINA COUNTY JAIL,HONDO,TX,78861,SNA,IGSA,0,0
FRESNO COUNTY JAIL,FRESNO,CA,93721,SFR,IGSA,0,0
MALHEUR COUNTY JAIL,VALE,OR,97918,SEA,IGSA,0,0
CENTE,OLYMPIA,WA,98502,SEA,IGSA,0,0
BERKS CO. JUVI,LEESPORT,PA,19533,PHI,DRO JUV,0,0
BUCKS CNTY JAIL,DOYLESTOWN,PA,18901,PHI,IGSA,0,0
ALLENWOOD (LOW) FCI,WHITE DEER,PA,17887,PHI,BOP,0,0
DELAWARE CO JAIL,MEDIA,PA,19063,PHI,IGSA,0,0
YORK COUNTY JAIL,ALFRED,ME,40020,NYC,IGSA,0,0
EAST BATON ROUGE JAIL,SCOTLANDVILLE,LA,70807,NOL,IGSA,0,0
OAKDALE FED.CORR.INST.,OAKDALE,LA,71463,NOL,BOP,0,0
BAY COUNTY,PANAMA CITY,FL,32404,MIA,IGSA,0,0
CALIFORNIA STATE PRISON,CORCORAN,CA,93212,LOS,IGSA,0,0
OMAHA CORRECTIONAL CENTER,OMAHA,NE,88111,ELP,IGSA,0,0
ST JOSEPH CO,CENTREVILLE,MI,49032,DET,IGSA,0,0
IONIA CO.,IONIA,MI,48846,DET,IGSA,0,0
EOTOH COUNTY CORRECTION CENTER,ODESSA,TX,79781,DAL,IGSA,0,0
INS AIRPORT HOLD,CHICAGO,IL,60666,CHI,OTHER,0,0
DELAWARE COUNTY JAIL,DELHI,NY,13753,BUF,IGSA,0,0
CHEMUNG COUNTY JAIL,ELMIRA,NY,14901,BUF,IGSA,0,0
YATES COUNTY JAIL,PENNYAN,NY,14527,BUF,IGSA,0,0
LIVINGSTON COUNTY JAIL,GENESEO,NY,14454,BUF,IGSA,0,0
N.C. DEPT OF CORRECTIONS,RALEIGH,NC,27603,ATL,IGSA,0,0
NORFOLK CITY JAIL,NORFOLK,VA,23510,WAS,IGSA,0,0
SHENANDOAH CO JAIL,WOODSTOCK,VA,22664,WAS,IGSA,0,0
