NAME,CITY,ST,ZIP,AOR,TYPE,FY07,Max FY07
KENOSHA COUNTY JAIL,KENOSHA,WI,53144,CHI,IGSA,105,206
DOUGLAS COUNTY CORRECTION,OMAHA,NE,68102,SPM,IGSA,41,120
SOUTHWEST KEY PROG. (JUV),CANUTILLO,TX,79835,ELP,ORR,86,98
LIMESTONE DET CENTER,GROESBECK,TX,76642,SNA,IGSA,52,158
SANTA ANA COUNTY JAIL,SANTA ANA,CA,92703,LOS,IGSA,51,118
SENECA COUNTY JAIL,TIFFIN,OH,44883,DET,IGSA,98,162
CATHOLIC CHARITIES (HOU),HOUSTON,TX,77006,HOU,ORR,67,72
GUAYNABO ADC (SAN JUAN),SAN JUAN,PR,92200,MIA,BOP,87,104
CLINTON COUNTY CORR. FAC.,MCELHATTAN,PA,17748,PHI,IGSA,71,119
BERKS COUNTY FAMILY SHELTER,LEESPORT,PA,19533,PHI,DRO JUV,77,86
JEFFERSON COUNTY JAIL,BEAUMONT,TX,77701,HOU,IGSA,79,120
GREENFIELD HOUSE OF CORR.,GREENFIELD,MA,13010,BOS,IGSA,48,99
HONOLULU FEDERAL DETENTION CENTER,HONOLULU,HI,96819,SFR,BOP,43,73
RAMSEY ADC ANNEX,ST. PAUL,MN,55102,SPM,IGSA,36,81
PANUNKEY REG JAIL,HANOVER,VA,23069,WAS,IGSA,65,89
RIVERSIDE REG JAIL,HOPEWELL,VA,23860,WAS,IGSA,38,61
CORPUS CHRISTI FACILITY,CORPUS CHRISTI,TX,78412,HOU,ORR,61,78
ALLEGHENY CO. JAIL,PITTSBURGH,PA,15219,PHI,IGSA,93,100
HARDIN CO JAIL,ELDORA,IA,50627,SPM,IGSA,63,88
SOUTHWEST KEY CONROE,CONROE,TX,77304,HOU,ORR,48,64
MORGAN COUNTY SHERIFF'S DEPT,VERSAILLES,MO,65048,CHI,IGSA,46,73
CCA CHER-TAZ DET.CTR.,FLORENCE,AZ,85232,PHO,IGSA,61,114
CITRUS COUNTY JAIL,LECANTO,FL,34461,MIA,IGSA,14,60
WICOMICO CO DET,SALISBURY,MD,21801,BAL,IGSA,80,125
BOYSTOWN,MIAMI,FL,33186,MIA,ORR,47,65
SAN BERNARDINO CO. JAIL,SAN BERNADINO,CA,92408,LOS,IGSA,29,84
NORFLK CNTY DEDHAM,DEDHAM,MA,20260,BOS,IGSA,20,44
CALDWELL COUNTY JAIL,KINGSTON,MO,64650,CHI,IGSA,50,110
FREDERICK COUNTY DET. CEN,FREDERICK,MD,21701,BAL,IGSA,6,16
WORCESTER CO. JAIL,SNOW HILL,MD,21863,BAL,IGSA,56,74
HARLINGEN STAGING FACILITY,HARLINGEN,TX,78552,SNA,OTHER,83,224
RANDALL COUNTY JAIL,AMARILLO,TX,79118,ELP,IGSA,10,61
MONROE COUNTY JAIL,KEY WEST,FL,33040,MIA,IGSA,48,70
BERKS COUNTY JAIL,LEESPORT,PA,19533,PHI,IGSA,26,42
AQUADILLA SPC,AQUADILLA,PR,60400,MIA,SPC,17,121
MCCLENNAN COUNTY DETENTION CENTER,WACO,TX,76705,SNA,IGSA,27,110
PIONEER HUMAN SERVICES,FIFE,WA,98424,SEA,ORR,29,44
DORCHESTER CO DET CNTR,CAMBRIDGE,MD,21613,BAL,IGSA,60,76
WEBER COUNTY JAIL,OGDEN,UT,84401,SLC,IGSA,43,79
CUMBERLAND COUNTY JAIL,PORTLAND,ME,41020,BOS,IGSA,33,68
ARLINGTON CO JAIL,ARLINGTON,VA,22203,WAS,IGSA,41,63
CHILDREN'S CENTER INC.,GALVESTON,TX,77550,HOU,ORR,32,48
ORR FOSTER CARE,WASHINGTON,DC,20447,PHO,IGSA,11,47
UTAH COUNTY JAIL,SPANISH FORK,UT,84660,SLC,IGSA,39,77
SOUTHWEST KEY - HOUSTON,HOUSTON,TX,77028,HOU,ORR,27,42
POLK COUNTY JAIL,DES MOINES,IA,50303,SPM,IGSA,20,38
SOUTHWEST KEY PROG. (JUV),EL PASO,TX,79901,ELP,ORR,15,49
DEPARTMENT OF CORRECTIONS,AGANA,GU,96910,SFR,IGSA,21,33
CHAUTAUQUA COUNTY JAIL,MAYVILLE,NY,14757,BUF,IGSA,4,20
